연도,학제,고등학교 유형,시도,교육지원청,행정구역,학교명,본분교,학교상태,설립구분,우편번호,주소,홈페이지,학급수,학생수,교원수
2015,고등학교,일반고,강원,강원,강릉시,강일여자고등학교,본교,기존(원)교,사립,210-924,강원도 강릉시 화부산로 89 (교동),http://gangil.hs.kr,30,960,62
2015,고등학교,일반고,강원,강원,강릉시,강릉고등학교,본교,기존(원)교,공립,210-120,강원도 강릉시 강릉대로587번길 68 (초당동.강릉고등학교),http://www.ganggo.hs.kr/,29,883,68
2015,고등학교,일반고,강원,강원,강릉시,경포고등학교,본교,기존(원)교,공립,210-939,강원도 강릉시 강릉대로 547 . 14 (포남동),http://kyongpo.hs.kr,26,767,63
2015,고등학교,일반고,강원,강원,강릉시,강릉제일고등학교,본교,기존(원)교,공립,210-923,강원도 강릉시 화부산로8번길 37 (교동.강릉제일고등학교),http://gnilgo.hs.kr,26,767,60
2015,고등학교,일반고,강원,강원,강릉시,강릉여자고등학교,본교,기존(원)교,공립,210-933,강원도 강릉시 용지로 107 (옥천동),http://www.gn-girl.hs.kr/,31,963,68
2015,고등학교,일반고,강원,강원,강릉시,주문진고등학교,본교,기존(원)교,공립,210-801,강원도 강릉시 주문진읍 학교길 28 (주문진읍.주문진고등학교),http://jugo.hs.kr,12,331,26
2015,고등학교,일반고,강원,강원,강릉시,강릉문성고등학교,본교,기존(원)교,사립,210-320,강원도 강릉시 지변길 158 . 산54번지  (지변동.강릉문성고등학교),http://kms.hs.kr/,30,934,65
2015,고등학교,일반고,강원,강원,강릉시,강릉명륜고등학교,본교,기존(원)교,사립,210-920,강원도 강릉시 율곡로 2920-8 (교동.강릉명륜고등학교),http://www.grmr.hs.kr,29,874,60
2015,고등학교,일반고,강원,강원,고성군,대진고등학교,본교,기존(원)교,공립,219-812,강원도 고성군 현내면 화진포길 476 (현내면.대진중고등학교),http://www.daejin.hs.kr,3,55,11
2015,고등학교,일반고,강원,강원,고성군,고성고등학교,본교,기존(원)교,공립,219-801,강원도 고성군 간성읍 수성로 125 (간성읍.고성중고등학교),http://www.goseonggo.hs.kr,13,341,31
2015,고등학교,일반고,강원,강원,동해시,동해삼육고등학교,본교,기존(원)교,사립,240-809,강원도 동해시 동해대로 5367 (천곡동),http://dhsy.hs.kr,6,119,16
2015,고등학교,일반고,강원,강원,동해시,북평고등학교,본교,기존(원)교,공립,240-180,강원도 동해시 효자남길 51 (동회동.북평고등학교),http://www.bukpyeong.hs.kr,25,784,61
2015,고등학교,일반고,강원,강원,동해시,북평여자고등학교,본교,기존(원)교,공립,240-808,강원도 동해시 동굴로 55 (천곡동.북평여자고등학교),http://www.bukyo.hs.kr,22,693,46
2015,고등학교,일반고,강원,강원,동해시,동해광희고등학교,본교,기존(원)교,사립,240-180,강원도 동해시 청운로 112 (동회동.동해광희고등학교),http://dhkh.hs.kr/,30,929,65
2015,고등학교,일반고,강원,강원,동해시,묵호고등학교,본교,기존(원)교,공립,240-813,승지로37 (부곡동),http://www.mukho.hs.kr,22,664,47
2015,고등학교,일반고,강원,강원,삼척시,원덕고등학교,본교,기존(원)교,공립,245-803,강원도 삼척시 원덕읍 삼척로 480 (원덕읍.원덕중고등학교),http://www.wondeok.hs.kr/,4,71,13
2015,고등학교,일반고,강원,강원,삼척시,하장고등학교,본교,기존(원)교,공립,245-912,강원도 삼척시 하장면 백두대간로 2600 (하장면.하장중고교),http://www.hajang.hs.kr/,4,12,13
2015,고등학교,일반고,강원,강원,삼척시,삼일고등학교,본교,기존(원)교,사립,245-938,강원도 삼척시 사직로 22 (남양동.삼일중고등학교),http://www.samilgo.hs.kr,9,295,22
2015,고등학교,일반고,강원,강원,삼척시,삼척고등학교,본교,기존(원)교,공립,245-939,강원도 삼척시 사대안길 21 (당저동.삼척고등학교),http://samchok.hs.kr,19,570,40
2015,고등학교,일반고,강원,강원,삼척시,삼척여자고등학교,본교,기존(원)교,공립,245-937,강원도 삼척시 남산길 6 (남양동.삼척여자고등학교),http://www.sam-g.hs.kr,22,667,49
2015,고등학교,일반고,강원,강원,삼척시,도계고등학교,본교,기존(원)교,공립,245-905,강원도 삼척시 도계읍 도계느티로 69 (도계읍.도계고등학교),http://dogye.hs.kr,13,213,31
2015,고등학교,일반고,강원,강원,삼척시,가곡고등학교,본교,기존(원)교,공립,245-812,강원도 삼척시 가곡면 가곡천로 1427 (가곡면.가곡중고등학교),http://www.gagog.hs.kr,3,17,12
2015,고등학교,일반고,강원,강원,속초시,설악고등학교,본교,기존(원)교,공립,217-811,강원도 속초시 청대로 219 (조양동.설악고등학교),http://sokcho-ch.hs.kr/,32,"1,037",71
2015,고등학교,일반고,강원,강원,속초시,속초여자고등학교,본교,기존(원)교,공립,217-806,강원도 속초시 배움터길 16 (교동 802-1),http://www.sokcho-gh.hs.kr,30,"1,001",68
2015,고등학교,일반고,강원,강원,속초시,속초고등학교,본교,기존(원)교,공립,217-130,강원도 속초시 사진용촌길 42 (장사동.속초고등학교),http://www.sokcho.hs.kr,30,"1,013",67
2015,고등학교,일반고,강원,강원,양구군,양구고등학교,본교,기존(원)교,공립,255-804,강원도 양구군 양구읍 중심로 115 (양구읍.양구중.고등학교),http://www.yanggu.hs.kr,10,291,23
2015,고등학교,일반고,강원,강원,양구군,양구여자고등학교,본교,기존(원)교,공립,255-806,강원도 양구군 양구읍 박수근로 327 (양구읍.양구여자중고등학교),http://www.양구여고.kr,10,262,27
2015,고등학교,일반고,강원,강원,양양군,양양고등학교,본교,기존(원)교,공립,215-805,강원도 양양군 양양읍 복개길 23-12 (양양읍),http://yang.hs.kr,13,305,33
2015,고등학교,일반고,강원,강원,양양군,양양여자고등학교,본교,기존(원)교,공립,215-805,강원도 양양군 양양읍 서문3길 12 . 양양여자고등학교 (양양읍),http://www.yangyang-g.hs.kr,13,291,32
2015,고등학교,일반고,강원,강원,영월군,주천고등학교,본교,기존(원)교,공립,230-854,강원도 영월군 주천면 주천로89번길 41 (주천면.주천중・고등학교),http://www.jucheon.hs.kr,9,145,26
2015,고등학교,일반고,강원,강원,영월군,상동고등학교,본교,기존(원)교,공립,230-902,강원도 영월군 상동읍 태백산로 3147 (상동읍.상동중학교),http://www.sangdong.hs.kr,3,11,11
2015,고등학교,일반고,강원,강원,영월군,마차고등학교,본교,기존(원)교,공립,230-872,강원도 영월군 북면 문학로길 25-8 (북면.마차 중고등학교),http://macha.hs.kr,3,56,11
2015,고등학교,일반고,강원,강원,영월군,영월고등학교,본교,기존(원)교,공립,230-801,강원도 영월군 영월읍 오무개길 51 (영월읍.영월중고등학교),http://www.youngwol.hs.kr/,12,343,27
2015,고등학교,일반고,강원,강원,영월군,석정여자고등학교,본교,기존(원)교,사립,230-808,강원도 영월군 영월읍 영월로 1914-11 (영월읍.석정고등학교),http://www.sjg.hs.kr,20,427,43
2015,고등학교,일반고,강원,강원,원주시,치악고등학교,본교,기존(원)교,공립,220-934,강원도 원주시 치악고교길 16 (관설동.치악고등학교),http://www.chiak.hs.kr,36,"1,244",83
2015,고등학교,일반고,강원,강원,원주시,진광고등학교,본교,기존(원)교,사립,220-955,강원도 원주시 진광길 50 (우산동.진광중고등학교),http://jinkwang.hs.kr/,29,"1,060",60
2015,고등학교,일반고,강원,강원,원주시,북원여자고등학교,본교,기존(원)교,공립,220-935,강원도 원주시 원문로137번길 32 . 북원여자고등학교 (단계동.북원여자고등학교),http://www.bukwon.hs.kr/,35,"1,249",79
2015,고등학교,일반고,강원,강원,원주시,육민관고등학교,본교,기존(원)교,사립,220-844,강원도 원주시 흥업면 북원로 1800 육민관고등학교,http://www.ymk.hs.kr,30,"1,104",62
2015,고등학교,일반고,강원,강원,원주시,원주삼육고등학교,본교,기존(원)교,사립,220-150,강원도 원주시 북원로 1996 . 원주삼육고등학교 (무실동.남자기숙사동),http://www.wonju36.hs.kr,12,412,30
2015,고등학교,일반고,강원,강원,원주시,원주여자고등학교,본교,기존(원)교,공립,220-170,강원도 원주시 배울로 227 (반곡동),http://wonju-g.hs.kr,33,"1,204",74
2015,고등학교,일반고,강원,강원,원주시,상지여자고등학교,본교,기존(원)교,사립,220-930,강원도 원주시 개운4길 . 상지여자중고등학교 (개운동.상지여자중고등학교),http://www.sangjigo.hs.kr,33,"1,206",69
2015,고등학교,일반고,강원,강원,원주시,원주고등학교,본교,기존(원)교,공립,220-930,강원도 원주시 치악로 1765 (개운동.원주고등학교),http://www.wonjugo.hs.kr,32,"1,168",68
2015,고등학교,일반고,강원,강원,원주시,문막고등학교,본교,기존(원)교,공립,220-806,강원도 원주시 문막읍 문막시장1길 58 (문막읍.문막중학교),http://www.munmak.hs.kr,10,277,24
2015,고등학교,일반고,강원,강원,원주시,대성고등학교,본교,기존(원)교,사립,220-150,강원도 원주시 북원로 2001 (무실동.대성중.고등학교),http://www.daesunggo.hs.kr,30,"1,095",62
2015,고등학교,일반고,강원,강원,인제군,신남고등학교,본교,기존(원)교,공립,252-815,강원도 인제군 남면 신남로 47-35 (남면.신남중고등학교),http://www.sinnam.hs.kr,3,63,10
2015,고등학교,일반고,강원,강원,인제군,기린고등학교,본교,기존(원)교,공립,252-846,강원도 인제군 기린면 창암길 20 (기린면.기린중고등학교),http://girin.hs.kr,7,135,19
2015,고등학교,일반고,강원,강원,인제군,원통고등학교,본교,기존(원)교,공립,252-822,강원도 인제군 북면 원통로 285 (북면.원통중고등학교),http://wonhs.kwije.go.kr/,12,336,26
2015,고등학교,일반고,강원,강원,인제군,인제고등학교,본교,기존(원)교,공립,252-808,강원도 인제군 인제읍 인제로 249번길 . 22 (인제읍),http://www.injego.hs.kr/,9,270,21
2015,고등학교,일반고,강원,강원,정선군,고한고등학교,본교,기존(원)교,공립,233-813,강원도 정선군 고한읍 고한9길 160 (고한읍.고한중고등학교),http://www.gohan.hs.kr,6,76,16
2015,고등학교,일반고,강원,강원,정선군,임계고등학교,본교,기존(원)교,공립,233-875,강원도 정선군 임계면 백두대간로 1313 (임계면),http://www.imgye.hs.kr,4,56,14
2015,고등학교,일반고,강원,강원,정선군,함백고등학교,본교,기존(원)교,공립,233-826,강원도 정선군 신동읍 함백로 211 (신동읍.함백종합고등학교),http://www.hambaek.hs.kr,6,52,19
2015,고등학교,일반고,강원,강원,정선군,여량고등학교,본교,기존(원)교,공립,233-845,강원도 정선군 여량면 여량7길 42 42,http://www.yoerang.hs.kr,3,44,10
2015,고등학교,일반고,강원,강원,정선군,사북고등학교,본교,기존(원)교,공립,233-901,강원도 정선군 사북읍 소금강로 3640 (사북읍.사북중고등학교),http://www.sabuk.hs.kr/,6,183,18
2015,고등학교,일반고,강원,강원,정선군,정선고등학교,본교,기존(원)교,공립,233-804,강원도 정선군 정선읍 봉양4길 15,http://www.jeongseon.hs.kr,12,364,29
2015,고등학교,일반고,강원,강원,철원군,철원여자고등학교,본교,기존(원)교,공립,269-816,강원도 철원군 동송읍 이평로123번길 40 (동송읍.철원여자중고등학교),http://www.cwg.hs.kr,12,412,29
2015,고등학교,일반고,강원,강원,철원군,김화고등학교,본교,기존(원)교,공립,269-841,강원도 철원군 서면 와수1로 90 (서면.김화여중고등학교),http://gimhwa.hs.kr,9,228,26
2015,고등학교,일반고,강원,강원,철원군,신철원고등학교,본교,기존(원)교,공립,269-802,강원도 철원군 갈말읍 명성로149번길 64 (갈말읍.신철원중.고등학교),http://www.scw.hs.kr,13,398,30
2015,고등학교,일반고,강원,강원,철원군,철원고등학교,본교,기존(원)교,공립,269-823,강원도 철원군 철원읍 금학로251번안길 12 (철원읍.철원중고교),http://www.cheorwon.hs.kr,13,413,28
2015,고등학교,일반고,강원,강원,춘천시,춘천여자고등학교,본교,기존(원)교,공립,200-850,강원도 춘천시 동면 만천양지길 95 (동면),http://ccg.hs.kr,33,"1,194",79
2015,고등학교,일반고,강원,강원,춘천시,강원대학교사범대학부설고등학교,본교,기존(원)교,국립,200-958,강원도 춘천시 서부대성로 257 (효자동.강원대학교사범대학부설고등학교),http://www.sdhs.hs.kr,28,"1,014",67
2015,고등학교,일반고,강원,강원,춘천시,유봉여자고등학교,본교,기존(원)교,사립,200-060,강원도 춘천시 봉의산길22번길 28 (교동.유봉여자고등학교),http://yubong.hs.kr,30,"1,067",63
2015,고등학교,일반고,강원,강원,춘천시,성수고등학교,본교,기존(원)교,사립,200-100,강원도 춘천시 중앙로68번길 21 (낙원동.성수고등학교),http://www.seongsu.hs.kr,22,790,49
2015,고등학교,일반고,강원,강원,춘천시,춘천고등학교,본교,기존(원)교,공립,200-113,강원도 춘천시 중앙로68번길 37 (소양로3가.춘천고등학교),http://chunchon.hs.kr,30,"1,090",72
2015,고등학교,일반고,강원,강원,춘천시,강원고등학교,본교,기존(원)교,사립,200-853,강원도 춘천시 동면 장학길 24 (동면.강원중고등학교),http://www.kanggo.net,25,916,59
2015,고등학교,일반고,강원,강원,춘천시,성수여자고등학교,본교,기존(원)교,사립,200-100,강원도 춘천시 학당길 28 (낙원동),http://www.ssg.hs.kr,21,729,47
2015,고등학교,일반고,강원,강원,춘천시,봉의고등학교,본교,기존(원)교,공립,200-963,강원도 춘천시 후석로250번길 22 (후평동.봉의고등학교),http://www.bongeui.hs.kr,29,983,70
2015,고등학교,일반고,강원,강원,태백시,황지고등학교,본교,기존(원)교,공립,235-800,강원도 태백시 번영로 179 (황지동.황고관사)황지고등학교,http://hwangji.hs.kr,18,515,40
2015,고등학교,일반고,강원,강원,태백시,장성여자고등학교,본교,기존(원)교,공립,235-120,강원도 태백시 일광마을길 8-12 (문곡동.장성여자고등학교),http://www.jangsung.hs.kr,16,448,42
2015,고등학교,일반고,강원,강원,태백시,철암고등학교,본교,기존(원)교,공립,235-200,강원도 태백시 상철암길 10-32 (철암동.철암중고등학교),http://cholamgagiohs.kwtbe.go.kr/,3,39,11
2015,고등학교,일반고,강원,강원,평창군,평창고등학교,본교,기존(원)교,공립,232-806,강원도 평창군 평창읍 노람들길 141 (평창읍.평창고등학교),http://www.kwpc.hs.kr,13,350,31
2015,고등학교,일반고,강원,강원,평창군,봉평고등학교,본교,기존(원)교,공립,232-925,강원도 평창군 봉평면 기풍4길 27-6 . 교사동 (봉평면.봉평중고등학교),http://www.bongpyeong.hs.kr,7,143,17
2015,고등학교,일반고,강원,강원,평창군,진부고등학교,본교,기존(원)교,공립,232-949,강원도 평창군 진부면 솔천길 69 (진부면.진부중.고등학교),http://jinbu.hs.kr,11,286,26
2015,고등학교,일반고,강원,강원,평창군,대화고등학교,본교,기존(원)교,공립,232-912,강원도 평창군 대화면 대화중앙로 32-8 (대화면.대화고등학교),http://www.daehwa.hs.kr,7,144,20
2015,고등학교,일반고,강원,강원,평창군,상지대관령고등학교,본교,기존(원)교,사립,232-954,강원도 평창군 대관령면 해당화3길 24 (대관령면.상지대관령고교),http://www.dhs.hs.kr,6,156,22
2015,고등학교,일반고,강원,강원,홍천군,서석고등학교,본교,기존(원)교,공립,250-835,강원도 홍천군 서석면 구룡령로 2570 (서석면.서석중고등학교),http://seoseokhs.kr,5,129,17
2015,고등학교,일반고,강원,강원,홍천군,홍천고등학교,본교,기존(원)교,공립,250-901,강원도 홍천군 홍천읍 석화로 109-10 (홍천읍.홍천고등학교),http://www.honggo.hs.kr,22,756,51
2015,고등학교,일반고,강원,강원,홍천군,내면고등학교,본교,기존(원)교,공립,250-846,강원도 홍천군 내면 구룡령로 5174 (내면.내면고등학교),http://naemyeonh.gwhce.go.kr/,3,53,10
2015,고등학교,일반고,강원,강원,홍천군,홍천여자고등학교,본교,기존(원)교,공립,250-910,강원도 홍천군 홍천읍 꽃뫼로 71 (홍천읍.홍천여자고등학교),http://www.hcg.hs.kr,23,788,50
2015,고등학교,일반고,강원,강원,화천군,사내고등학교,본교,기존(원)교,공립,209-834,강원도 화천군 사내면 포화로 1093 (사내면.사내고등학교),http://sanae.hs.kr,7,174,17
2015,고등학교,일반고,강원,강원,화천군,화천고등학교,본교,기존(원)교,공립,209-808,강원도 화천군 하남면 춘화로 3348-9 (하남면.화천중/고등학교),http://www.hwacheon.hs.kr/,8,238,24
2015,고등학교,일반고,강원,강원,화천군,간동고등학교,본교,기존(원)교,공립,209-822,강원도 화천군 간동면 파로호로 945-21 . 간동중고등학교 (간동면),http://gandong.hs.kr,3,53,12
2015,고등학교,일반고,강원,강원,횡성군,둔내고등학교,본교,기존(원)교,공립,225-831,강원도 횡성군 둔내면 둔내로 22 (둔내면),http://www.dunnae.hs.kr,5,103,16
2015,고등학교,일반고,강원,강원,횡성군,횡성고등학교,본교,기존(원)교,공립,225-808,강원도 횡성군 횡성읍 교항로 33 (횡성읍.횡성고등학교),http://www.hshigh.hs.kr,16,429,35
2015,고등학교,일반고,강원,강원,횡성군,횡성여자고등학교,본교,기존(원)교,공립,225-801,강원도 횡성군 횡성읍 횡성로 252 . 횡성여자고등학교 (횡성읍.횡성여자고등학교),http://www.hs.hs.kr,16,448,38
2015,고등학교,일반고,강원,강원,횡성군,갑천고등학교,본교,기존(원)교,공립,225-843,강원도 횡성군 갑천면 갑천로 17 (갑천면),http://www.kach.hs.kr,3,57,12
2015,고등학교,일반고,강원,강원,횡성군,안흥고등학교,본교,기존(원)교,공립,225-821,강원도 횡성군 안흥면 서동로 1121 (안흥면.안흥고등학교),http://www.anheung.hs.kr/,4,32,13
2015,고등학교,일반고,경기,경기,가평군,청평고등학교,본교,기존(원)교,공립,477-815,경기도 가평군 청평면 강변나루로40번길 23 . 청평고등학교 (청평면.청평고등학교),http://www.cheongpyeong.hs.kr,14,291,38
